image_path,rel_path,split,label,spoof_type,illumination,environment,source_dataset,source_split
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_105.png,LCC_FASD_development/real/FT720P_id0_s0_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_120.png,LCC_FASD_development/real/FT720P_id0_s0_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_135.png,LCC_FASD_development/real/FT720P_id0_s0_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_15.png,LCC_FASD_development/real/FT720P_id0_s0_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_150.png,LCC_FASD_development/real/FT720P_id0_s0_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_30.png,LCC_FASD_development/real/FT720P_id0_s0_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_45.png,LCC_FASD_development/real/FT720P_id0_s0_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_60.png,LCC_FASD_development/real/FT720P_id0_s0_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_75.png,LCC_FASD_development/real/FT720P_id0_s0_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s0_90.png,LCC_FASD_development/real/FT720P_id0_s0_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_105.png,LCC_FASD_development/real/FT720P_id0_s1_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_120.png,LCC_FASD_development/real/FT720P_id0_s1_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_135.png,LCC_FASD_development/real/FT720P_id0_s1_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_15.png,LCC_FASD_development/real/FT720P_id0_s1_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_150.png,LCC_FASD_development/real/FT720P_id0_s1_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_30.png,LCC_FASD_development/real/FT720P_id0_s1_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_45.png,LCC_FASD_development/real/FT720P_id0_s1_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_60.png,LCC_FASD_development/real/FT720P_id0_s1_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_75.png,LCC_FASD_development/real/FT720P_id0_s1_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s1_90.png,LCC_FASD_development/real/FT720P_id0_s1_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_105.png,LCC_FASD_development/real/FT720P_id0_s2_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_120.png,LCC_FASD_development/real/FT720P_id0_s2_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_135.png,LCC_FASD_development/real/FT720P_id0_s2_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_15.png,LCC_FASD_development/real/FT720P_id0_s2_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_150.png,LCC_FASD_development/real/FT720P_id0_s2_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_30.png,LCC_FASD_development/real/FT720P_id0_s2_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_45.png,LCC_FASD_development/real/FT720P_id0_s2_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_60.png,LCC_FASD_development/real/FT720P_id0_s2_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_75.png,LCC_FASD_development/real/FT720P_id0_s2_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s2_90.png,LCC_FASD_development/real/FT720P_id0_s2_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_107.png,LCC_FASD_development/real/FT720P_id0_s3_107.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_127.png,LCC_FASD_development/real/FT720P_id0_s3_127.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_142.png,LCC_FASD_development/real/FT720P_id0_s3_142.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_157.png,LCC_FASD_development/real/FT720P_id0_s3_157.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_16.png,LCC_FASD_development/real/FT720P_id0_s3_16.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_31.png,LCC_FASD_development/real/FT720P_id0_s3_31.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_46.png,LCC_FASD_development/real/FT720P_id0_s3_46.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_61.png,LCC_FASD_development/real/FT720P_id0_s3_61.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_77.png,LCC_FASD_development/real/FT720P_id0_s3_77.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id0_s3_92.png,LCC_FASD_development/real/FT720P_id0_s3_92.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_105.png,LCC_FASD_development/real/FT720P_id12_s0_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_120.png,LCC_FASD_development/real/FT720P_id12_s0_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_135.png,LCC_FASD_development/real/FT720P_id12_s0_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_15.png,LCC_FASD_development/real/FT720P_id12_s0_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_150.png,LCC_FASD_development/real/FT720P_id12_s0_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_30.png,LCC_FASD_development/real/FT720P_id12_s0_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_45.png,LCC_FASD_development/real/FT720P_id12_s0_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_60.png,LCC_FASD_development/real/FT720P_id12_s0_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_75.png,LCC_FASD_development/real/FT720P_id12_s0_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s0_90.png,LCC_FASD_development/real/FT720P_id12_s0_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_105.png,LCC_FASD_development/real/FT720P_id12_s1_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_120.png,LCC_FASD_development/real/FT720P_id12_s1_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_135.png,LCC_FASD_development/real/FT720P_id12_s1_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_15.png,LCC_FASD_development/real/FT720P_id12_s1_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_150.png,LCC_FASD_development/real/FT720P_id12_s1_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_30.png,LCC_FASD_development/real/FT720P_id12_s1_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_45.png,LCC_FASD_development/real/FT720P_id12_s1_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_60.png,LCC_FASD_development/real/FT720P_id12_s1_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_75.png,LCC_FASD_development/real/FT720P_id12_s1_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s1_90.png,LCC_FASD_development/real/FT720P_id12_s1_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_105.png,LCC_FASD_development/real/FT720P_id12_s2_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_120.png,LCC_FASD_development/real/FT720P_id12_s2_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_135.png,LCC_FASD_development/real/FT720P_id12_s2_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_15.png,LCC_FASD_development/real/FT720P_id12_s2_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_150.png,LCC_FASD_development/real/FT720P_id12_s2_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_30.png,LCC_FASD_development/real/FT720P_id12_s2_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_45.png,LCC_FASD_development/real/FT720P_id12_s2_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_60.png,LCC_FASD_development/real/FT720P_id12_s2_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_75.png,LCC_FASD_development/real/FT720P_id12_s2_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id12_s2_90.png,LCC_FASD_development/real/FT720P_id12_s2_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_105.png,LCC_FASD_development/real/FT720P_id5_s0_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_120.png,LCC_FASD_development/real/FT720P_id5_s0_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_135.png,LCC_FASD_development/real/FT720P_id5_s0_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_15.png,LCC_FASD_development/real/FT720P_id5_s0_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_150.png,LCC_FASD_development/real/FT720P_id5_s0_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_30.png,LCC_FASD_development/real/FT720P_id5_s0_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_45.png,LCC_FASD_development/real/FT720P_id5_s0_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_60.png,LCC_FASD_development/real/FT720P_id5_s0_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_75.png,LCC_FASD_development/real/FT720P_id5_s0_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id5_s0_90.png,LCC_FASD_development/real/FT720P_id5_s0_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_105.png,LCC_FASD_development/real/FT720P_id9_s0_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_120.png,LCC_FASD_development/real/FT720P_id9_s0_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_135.png,LCC_FASD_development/real/FT720P_id9_s0_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_15.png,LCC_FASD_development/real/FT720P_id9_s0_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_150.png,LCC_FASD_development/real/FT720P_id9_s0_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_30.png,LCC_FASD_development/real/FT720P_id9_s0_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_45.png,LCC_FASD_development/real/FT720P_id9_s0_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_60.png,LCC_FASD_development/real/FT720P_id9_s0_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_75.png,LCC_FASD_development/real/FT720P_id9_s0_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\FT720P_id9_s0_90.png,LCC_FASD_development/real/FT720P_id9_s0_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_105.png,LCC_FASD_development/real/IPHONE8B_id5_s2_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_120.png,LCC_FASD_development/real/IPHONE8B_id5_s2_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_135.png,LCC_FASD_development/real/IPHONE8B_id5_s2_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_15.png,LCC_FASD_development/real/IPHONE8B_id5_s2_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_150.png,LCC_FASD_development/real/IPHONE8B_id5_s2_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_30.png,LCC_FASD_development/real/IPHONE8B_id5_s2_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_45.png,LCC_FASD_development/real/IPHONE8B_id5_s2_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_60.png,LCC_FASD_development/real/IPHONE8B_id5_s2_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_75.png,LCC_FASD_development/real/IPHONE8B_id5_s2_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id5_s2_90.png,LCC_FASD_development/real/IPHONE8B_id5_s2_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_105.png,LCC_FASD_development/real/IPHONE8B_id81_s0_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_120.png,LCC_FASD_development/real/IPHONE8B_id81_s0_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_135.png,LCC_FASD_development/real/IPHONE8B_id81_s0_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_15.png,LCC_FASD_development/real/IPHONE8B_id81_s0_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_150.png,LCC_FASD_development/real/IPHONE8B_id81_s0_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_30.png,LCC_FASD_development/real/IPHONE8B_id81_s0_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_45.png,LCC_FASD_development/real/IPHONE8B_id81_s0_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_60.png,LCC_FASD_development/real/IPHONE8B_id81_s0_60.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_75.png,LCC_FASD_development/real/IPHONE8B_id81_s0_75.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id81_s0_90.png,LCC_FASD_development/real/IPHONE8B_id81_s0_90.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id9_s2_105.png,LCC_FASD_development/real/IPHONE8B_id9_s2_105.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id9_s2_120.png,LCC_FASD_development/real/IPHONE8B_id9_s2_120.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id9_s2_135.png,LCC_FASD_development/real/IPHONE8B_id9_s2_135.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id9_s2_15.png,LCC_FASD_development/real/IPHONE8B_id9_s2_15.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id9_s2_150.png,LCC_FASD_development/real/IPHONE8B_id9_s2_150.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id9_s2_30.png,LCC_FASD_development/real/IPHONE8B_id9_s2_30.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
D:\Paper2026\Paper-2026\data\evaluation\LCC_FASD_development\real\IPHONE8B_id9_s2_45.png,LCC_FASD_development/real/IPHONE8B_id9_s2_45.png,evaluation,0,0,0,0,LCC_FASD,LCC_FASD_development
