image_path,rel_path,split,identity,label,spoof_type,illumination,environment
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9866\live\472925.jpg,Data/train/9866/live/472925.jpg,train,9866,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\81\spoof\048097.jpg,Data/train/81/spoof/048097.jpg,train,81,1,1,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1535\spoof\266951.jpg,Data/train/1535/spoof/266951.jpg,train,1535,1,2,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2266\live\277982.jpg,Data/train/2266/live/277982.jpg,train,2266,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6808\spoof\166516.jpg,Data/train/6808/spoof/166516.jpg,train,6808,1,7,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8032\spoof\446064.jpg,Data/train/8032/spoof/446064.jpg,train,8032,1,8,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\334\spoof\264374.jpg,Data/train/334/spoof/264374.jpg,train,334,1,1,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9754\spoof\481961.jpg,Data/train/9754/spoof/481961.jpg,train,9754,1,10,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4316\live\259386.jpg,Data/train/4316/live/259386.jpg,train,4316,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9396\spoof\136742.jpg,Data/train/9396/spoof/136742.jpg,train,9396,1,10,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\901\live\049276.jpg,Data/train/901/live/049276.jpg,train,901,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9168\live\132552.jpg,Data/train/9168/live/132552.jpg,train,9168,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1686\live\344437.jpg,Data/train/1686/live/344437.jpg,train,1686,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7318\live\452043.jpg,Data/train/7318/live/452043.jpg,train,7318,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2019\live\084048.jpg,Data/train/2019/live/084048.jpg,train,2019,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5175\live\111355.jpg,Data/train/5175/live/111355.jpg,train,5175,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1209\live\382569.jpg,Data/train/1209/live/382569.jpg,train,1209,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9966\spoof\121548.jpg,Data/train/9966/spoof/121548.jpg,train,9966,1,10,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7418\live\204887.jpg,Data/train/7418/live/204887.jpg,train,7418,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2483\spoof\456919.jpg,Data/train/2483/spoof/456919.jpg,train,2483,1,3,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4882\spoof\030293.jpg,Data/train/4882/spoof/030293.jpg,train,4882,1,5,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9959\spoof\147035.jpg,Data/train/9959/spoof/147035.jpg,train,9959,1,10,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1524\live\337256.jpg,Data/train/1524/live/337256.jpg,train,1524,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5310\live\315026.jpg,Data/train/5310/live/315026.jpg,train,5310,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\310\spoof\359683.jpg,Data/train/310/spoof/359683.jpg,train,310,1,1,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\605\live\384946.jpg,Data/train/605/live/384946.jpg,train,605,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\303\live\201252.jpg,Data/train/303/live/201252.jpg,train,303,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9833\spoof\346693.jpg,Data/train/9833/spoof/346693.jpg,train,9833,1,10,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\534\live\001294.jpg,Data/train/534/live/001294.jpg,train,534,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2064\live\472415.jpg,Data/train/2064/live/472415.jpg,train,2064,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3835\live\117053.jpg,Data/train/3835/live/117053.jpg,train,3835,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2306\live\364562.jpg,Data/train/2306/live/364562.jpg,train,2306,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2315\spoof\407014.jpg,Data/train/2315/spoof/407014.jpg,train,2315,1,3,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2901\spoof\338940.jpg,Data/train/2901/spoof/338940.jpg,train,2901,1,3,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6902\live\159941.jpg,Data/train/6902/live/159941.jpg,train,6902,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9659\spoof\154617.jpg,Data/train/9659/spoof/154617.jpg,train,9659,1,10,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3900\live\464463.jpg,Data/train/3900/live/464463.jpg,train,3900,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9228\live\294216.jpg,Data/train/9228/live/294216.jpg,train,9228,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4648\spoof\489546.jpg,Data/train/4648/spoof/489546.jpg,train,4648,1,5,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7201\spoof\358766.jpg,Data/train/7201/spoof/358766.jpg,train,7201,1,8,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5648\spoof\260922.jpg,Data/train/5648/spoof/260922.jpg,train,5648,1,6,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9068\spoof\258240.jpg,Data/train/9068/spoof/258240.jpg,train,9068,1,9,2,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3105\live\229641.jpg,Data/train/3105/live/229641.jpg,train,3105,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5295\spoof\291236.jpg,Data/train/5295/spoof/291236.jpg,train,5295,1,6,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9305\live\169103.jpg,Data/train/9305/live/169103.jpg,train,9305,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4028\spoof\107039.jpg,Data/train/4028/spoof/107039.jpg,train,4028,1,4,2,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\659\spoof\221208.jpg,Data/train/659/spoof/221208.jpg,train,659,1,1,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2473\spoof\467868.jpg,Data/train/2473/spoof/467868.jpg,train,2473,1,3,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8606\spoof\037772.jpg,Data/train/8606/spoof/037772.jpg,train,8606,1,9,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3080\live\471200.jpg,Data/train/3080/live/471200.jpg,train,3080,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2000\spoof\448502.jpg,Data/train/2000/spoof/448502.jpg,train,2000,1,2,3,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8894\live\409146.jpg,Data/train/8894/live/409146.jpg,train,8894,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2252\spoof\223404.jpg,Data/train/2252/spoof/223404.jpg,train,2252,1,3,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1889\spoof\010165.jpg,Data/train/1889/spoof/010165.jpg,train,1889,1,2,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\274\live\218268.jpg,Data/train/274/live/218268.jpg,train,274,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\862\spoof\388184.jpg,Data/train/862/spoof/388184.jpg,train,862,1,1,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5006\spoof\359089.jpg,Data/train/5006/spoof/359089.jpg,train,5006,1,5,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6394\live\314667.jpg,Data/train/6394/live/314667.jpg,train,6394,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4995\live\472707.jpg,Data/train/4995/live/472707.jpg,train,4995,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5123\spoof\453913.jpg,Data/train/5123/spoof/453913.jpg,train,5123,1,6,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1337\live\252609.jpg,Data/train/1337/live/252609.jpg,train,1337,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1330\live\400847.jpg,Data/train/1330/live/400847.jpg,train,1330,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3586\spoof\106457.jpg,Data/train/3586/spoof/106457.jpg,train,3586,1,4,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7596\live\352673.jpg,Data/train/7596/live/352673.jpg,train,7596,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1341\live\104539.jpg,Data/train/1341/live/104539.jpg,train,1341,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5050\spoof\026772.jpg,Data/train/5050/spoof/026772.jpg,train,5050,1,5,2,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2193\spoof\139922.jpg,Data/train/2193/spoof/139922.jpg,train,2193,1,3,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7905\spoof\124945.jpg,Data/train/7905/spoof/124945.jpg,train,7905,1,8,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8750\spoof\339231.jpg,Data/train/8750/spoof/339231.jpg,train,8750,1,9,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2792\spoof\087966.jpg,Data/train/2792/spoof/087966.jpg,train,2792,1,3,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3271\live\176953.jpg,Data/train/3271/live/176953.jpg,train,3271,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2622\live\484547.jpg,Data/train/2622/live/484547.jpg,train,2622,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\10159\spoof\405586.jpg,Data/train/10159/spoof/405586.jpg,train,10159,1,10,4,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8051\spoof\314800.jpg,Data/train/8051/spoof/314800.jpg,train,8051,1,8,2,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\112\spoof\015744.jpg,Data/train/112/spoof/015744.jpg,train,112,1,1,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8345\live\088187.jpg,Data/train/8345/live/088187.jpg,train,8345,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2445\live\129481.jpg,Data/train/2445/live/129481.jpg,train,2445,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7866\spoof\221325.jpg,Data/train/7866/spoof/221325.jpg,train,7866,1,8,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7628\spoof\250990.jpg,Data/train/7628/spoof/250990.jpg,train,7628,1,8,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6046\live\188855.jpg,Data/train/6046/live/188855.jpg,train,6046,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8383\spoof\341821.jpg,Data/train/8383/spoof/341821.jpg,train,8383,1,9,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8874\spoof\282780.jpg,Data/train/8874/spoof/282780.jpg,train,8874,1,9,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6083\spoof\163053.jpg,Data/train/6083/spoof/163053.jpg,train,6083,1,6,3,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3880\live\129510.jpg,Data/train/3880/live/129510.jpg,train,3880,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5020\live\074682.jpg,Data/train/5020/live/074682.jpg,train,5020,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\10070\live\436133.jpg,Data/train/10070/live/436133.jpg,train,10070,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2752\spoof\233752.jpg,Data/train/2752/spoof/233752.jpg,train,2752,1,3,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\10082\live\348907.jpg,Data/train/10082/live/348907.jpg,train,10082,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6579\live\154812.jpg,Data/train/6579/live/154812.jpg,train,6579,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6510\live\464072.jpg,Data/train/6510/live/464072.jpg,train,6510,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\27\live\165067.jpg,Data/train/27/live/165067.jpg,train,27,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2317\live\391666.jpg,Data/train/2317/live/391666.jpg,train,2317,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\541\live\096987.jpg,Data/train/541/live/096987.jpg,train,541,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3097\live\357147.jpg,Data/train/3097/live/357147.jpg,train,3097,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8971\spoof\406483.jpg,Data/train/8971/spoof/406483.jpg,train,8971,1,9,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1366\spoof\424406.jpg,Data/train/1366/spoof/424406.jpg,train,1366,1,2,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3764\spoof\062310.jpg,Data/train/3764/spoof/062310.jpg,train,3764,1,4,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7764\live\069544.jpg,Data/train/7764/live/069544.jpg,train,7764,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1294\live\176968.jpg,Data/train/1294/live/176968.jpg,train,1294,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1258\spoof\483520.jpg,Data/train/1258/spoof/483520.jpg,train,1258,1,2,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\94\live\258307.jpg,Data/train/94/live/258307.jpg,train,94,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1589\live\414881.jpg,Data/train/1589/live/414881.jpg,train,1589,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8518\spoof\290083.jpg,Data/train/8518/spoof/290083.jpg,train,8518,1,9,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1704\spoof\373396.jpg,Data/train/1704/spoof/373396.jpg,train,1704,1,2,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9834\spoof\289298.jpg,Data/train/9834/spoof/289298.jpg,train,9834,1,10,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4499\spoof\094700.jpg,Data/train/4499/spoof/094700.jpg,train,4499,1,5,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\10176\live\115392.jpg,Data/train/10176/live/115392.jpg,train,10176,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\924\live\325778.jpg,Data/train/924/live/325778.jpg,train,924,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5969\spoof\231144.jpg,Data/train/5969/spoof/231144.jpg,train,5969,1,6,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\337\live\208008.jpg,Data/train/337/live/208008.jpg,train,337,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2736\live\219534.jpg,Data/train/2736/live/219534.jpg,train,2736,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4751\spoof\393274.jpg,Data/train/4751/spoof/393274.jpg,train,4751,1,5,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7901\live\363585.jpg,Data/train/7901/live/363585.jpg,train,7901,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9586\spoof\001451.jpg,Data/train/9586/spoof/001451.jpg,train,9586,1,10,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2171\spoof\118824.jpg,Data/train/2171/spoof/118824.jpg,train,2171,1,3,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2453\live\179524.jpg,Data/train/2453/live/179524.jpg,train,2453,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\815\live\270985.jpg,Data/train/815/live/270985.jpg,train,815,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5679\live\068084.jpg,Data/train/5679/live/068084.jpg,train,5679,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9442\spoof\340376.jpg,Data/train/9442/spoof/340376.jpg,train,9442,1,10,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6652\spoof\192834.jpg,Data/train/6652/spoof/192834.jpg,train,6652,1,7,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6699\spoof\342362.jpg,Data/train/6699/spoof/342362.jpg,train,6699,1,7,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\586\spoof\282533.jpg,Data/train/586/spoof/282533.jpg,train,586,1,1,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5802\spoof\298768.jpg,Data/train/5802/spoof/298768.jpg,train,5802,1,6,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4829\spoof\114350.jpg,Data/train/4829/spoof/114350.jpg,train,4829,1,5,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4220\live\208316.jpg,Data/train/4220/live/208316.jpg,train,4220,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8549\spoof\109420.jpg,Data/train/8549/spoof/109420.jpg,train,8549,1,9,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4622\live\161374.jpg,Data/train/4622/live/161374.jpg,train,4622,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7470\spoof\404967.jpg,Data/train/7470/spoof/404967.jpg,train,7470,1,8,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3585\live\483989.jpg,Data/train/3585/live/483989.jpg,train,3585,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9039\live\155741.jpg,Data/train/9039/live/155741.jpg,train,9039,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3154\spoof\244242.jpg,Data/train/3154/spoof/244242.jpg,train,3154,1,4,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8785\live\404135.jpg,Data/train/8785/live/404135.jpg,train,8785,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6479\live\436355.jpg,Data/train/6479/live/436355.jpg,train,6479,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4153\spoof\405220.jpg,Data/train/4153/spoof/405220.jpg,train,4153,1,5,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8923\live\328220.jpg,Data/train/8923/live/328220.jpg,train,8923,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5949\live\291667.jpg,Data/train/5949/live/291667.jpg,train,5949,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2848\spoof\486972.jpg,Data/train/2848/spoof/486972.jpg,train,2848,1,3,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4232\live\352665.jpg,Data/train/4232/live/352665.jpg,train,4232,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3918\live\123636.jpg,Data/train/3918/live/123636.jpg,train,3918,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4551\live\397153.jpg,Data/train/4551/live/397153.jpg,train,4551,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2572\spoof\349784.jpg,Data/train/2572/spoof/349784.jpg,train,2572,1,3,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\1031\live\387610.jpg,Data/train/1031/live/387610.jpg,train,1031,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9982\spoof\114648.jpg,Data/train/9982/spoof/114648.jpg,train,9982,1,10,1,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3679\live\149073.jpg,Data/train/3679/live/149073.jpg,train,3679,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8350\live\045298.jpg,Data/train/8350/live/045298.jpg,train,8350,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3322\live\126678.jpg,Data/train/3322/live/126678.jpg,train,3322,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\2052\spoof\440592.jpg,Data/train/2052/spoof/440592.jpg,train,2052,1,2,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\9884\spoof\110573.jpg,Data/train/9884/spoof/110573.jpg,train,9884,1,10,4,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\5512\spoof\359138.jpg,Data/train/5512/spoof/359138.jpg,train,5512,1,6,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8080\spoof\090652.jpg,Data/train/8080/spoof/090652.jpg,train,8080,1,8,2,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7682\spoof\305120.jpg,Data/train/7682/spoof/305120.jpg,train,7682,1,8,2,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\6585\live\119682.jpg,Data/train/6585/live/119682.jpg,train,6585,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\3250\spoof\195347.jpg,Data/train/3250/spoof/195347.jpg,train,3250,1,4,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7086\spoof\486163.jpg,Data/train/7086/spoof/486163.jpg,train,7086,1,7,2,2
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\990\live\143091.jpg,Data/train/990/live/143091.jpg,train,990,0,0,0,0
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\8595\spoof\404328.jpg,Data/train/8595/spoof/404328.jpg,train,8595,1,9,1,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\7786\spoof\222138.jpg,Data/train/7786/spoof/222138.jpg,train,7786,1,8,3,1
D:\Paper2026\Paper-2026\data\raw\CelebA-Spoof\Data\train\4678\live\429988.jpg,Data/train/4678/live/429988.jpg,train,4678,0,0,0,0
